City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
239,Saint-Francois,FR,69.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
240,Saldanha,ZA,84.25,broken clouds,-33.0117,17.9442,Blue Bay Lodge
241,Kahului,US,72.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
244,Cidreira,BR,74.84,clear sky,-30.1811,-50.2056,Hotel Castelo
245,Los Llanos De Aridane,ES,67.75,scattered clouds,28.6585,-17.9182,Valle Aridane
246,Namibe,AO,77.58,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
247,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
249,Cabo San Lucas,MX,72.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
250,Butaritari,KI,79.83,broken clouds,3.0707,172.7902,Isles Sunset Lodge
251,Touros,BR,86.76,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
253,New Norfolk,AU,62.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
255,Araguaina,BR,85.77,overcast clouds,-7.1911,-48.2072,Hotel São Vicente
256,Novo Aripuana,BR,82.2,moderate rain,-5.1206,-60.3797,Hotel Ezequiel
257,Lorengau,PG,80.26,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
258,Kieta,PG,78.19,light rain,-6.2167,155.6333,Uruna Bay Retreat
261,Point Pedro,LK,82.62,clear sky,9.8167,80.2333,Gtr homes
263,Sao Filipe,CV,70.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
265,Harper,LR,83.75,overcast clouds,4.375,-7.7169,Screensaver
267,Axim,GH,84.63,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
269,Caravelas,BR,87.06,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
270,Mar Del Plata,AR,71.62,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
271,Calatayud,ES,60.22,broken clouds,41.3535,-1.6432,Globales Castillo de Ayud
272,Acarau,BR,82.65,overcast clouds,-2.8856,-40.12,castelo pizzaria
273,Minbu,MM,84.99,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
277,Norsup,VU,79.86,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
278,Barmer,IN,87.85,clear sky,25.75,71.3833,Jain Dharamshala
279,Humen,CN,68.13,moderate rain,22.819,113.6731,豪门大饭店
280,Dubbo,AU,60.93,broken clouds,-32.25,148.6167,Quality Inn Dubbo International
281,Auki,SB,77.68,light rain,-8.7676,160.7034,Auki Motel
284,Dakar,SN,81.48,few clouds,14.6937,-17.4441,Novotel Dakar
286,Mecca,SA,87.96,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
287,Bilma,NE,89.62,few clouds,18.6853,12.9164,Expeditions Ténére voyages
288,Grand Gaube,MU,82.8,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
289,Ballina,AU,69.78,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
290,Natal,BR,86.65,light intensity shower rain,-5.795,-35.2094,Villa Park Hotel | Natal
292,Dekar,BW,81.81,overcast clouds,-21.5333,21.9333,
294,Kollam,IN,81.64,few clouds,8.8833,76.6,The Raviz Ashtamudi
295,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
298,Bubaque,GW,77.9,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
299,Nishihara,JP,67.28,light rain,26.1842,127.7558,Minshuku Agaihama
301,Bela,IN,84.67,clear sky,25.9333,81.9833,Raj Bhawan
304,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
307,Atambua,ID,73.81,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
311,Namatanai,PG,78.94,light rain,-3.6667,152.4333,Seagulls Inn Namatani
312,Madimba,TZ,87.12,scattered clouds,-10.4,40.3333,
313,Manokwari,ID,78.57,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
317,Redlands,US,68.99,haze,34.0556,-117.1825,Dynasty Suites Redlands
318,Diamantino,BR,77.92,overcast clouds,-14.4086,-56.4461,Hotel Delta
319,Mpongwe,ZM,75.16,moderate rain,-13.5091,28.155,Casablanca guest house and bar
321,Santa Cruz Cabralia,BR,86.23,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
325,Tuy Hoa,VN,77.2,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
327,Mitsamiouli,KM,82.69,light rain,-11.3847,43.2844,Foyer ADM
331,Itarema,BR,82.04,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
332,Ginir,ET,75.7,broken clouds,7.1333,40.7,Sura Dare Village
333,Mayumba,GA,82.4,light rain,-3.432,10.6554,LIKWALE LODGE
339,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
340,Saint-Pierre,RE,82.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
341,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
347,Valparaiso,CL,64.04,clear sky,-33.0393,-71.6273,Hotel Ultramar
349,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
351,Faanui,PF,80.76,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
353,Necochea,AR,70.14,clear sky,-38.5473,-58.7368,dyd -mar Hotel
354,Monte Alegre,BR,83.19,moderate rain,-2.0078,-54.0692,Hotel Shekinah
356,Capitao Poco,BR,85.28,overcast clouds,-1.7464,-47.0594,Hotel New Tokyo
357,Moron,AR,76.01,clear sky,-34.6534,-58.6198,Hotel Morón
358,Richards Bay,ZA,76.1,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
359,Palauig,PH,81.7,broken clouds,15.435,119.9045,Alperi Botique Resort
360,Kendari,ID,76.73,overcast clouds,-3.945,122.4989,Hotel Wixel
362,Ponta Delgada,PT,65.12,few clouds,37.7333,-25.6667,Vila Nova Hotel
364,Kampot,KH,82.45,clear sky,10.6167,104.1833,Two Moons Hotel
368,Liverpool,GB,65.28,scattered clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
370,Sijunjung,ID,73.29,scattered clouds,-0.6876,100.9537,Hotel Bukik Gadang
372,Tiznit,MA,79.81,overcast clouds,29.5833,-9.5,
373,Viedma,AR,70.52,clear sky,-40.8135,-62.9967,Hotel Cristal
375,Bani,DO,82.85,few clouds,18.2833,-70.3333,Hospedaje Henriquez
376,Buala,SB,79.3,light rain,-8.145,159.5921,Maringe Lagoon Lodge
377,Progreso,MX,77.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
382,Intipuca,SV,80.55,overcast clouds,13.1969,-88.0544,Tropiclub Playa El Cuco
383,Lubao,PH,82.47,broken clouds,14.9167,120.55,Hacienda Gracia
384,Gigmoto,PH,79.41,overcast clouds,13.7796,124.39,Cj's Travellers Inn
386,Barinas,VE,89.69,overcast clouds,8.6226,-70.2075,Hotel Mastranto Suite
388,Debre Tabor,ET,73.71,overcast clouds,11.85,38.0167,Bahirdar
390,Arraial Do Cabo,BR,85.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
391,Port Lincoln,AU,66.24,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
393,Dingle,PH,77.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
396,Vao,NC,75.96,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
401,Cockburn Town,TC,76.96,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
405,Calvinia,ZA,85.15,scattered clouds,-31.4707,19.776,Die Lemoenhuis
406,Constitucion,CL,64.04,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
407,Najran,SA,79.45,clear sky,17.4924,44.1277,محمد هادي ال فطيح
408,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
409,Porto Belo,BR,81.25,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
410,Canutama,BR,77.86,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
411,Basco,PH,79.25,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
413,Ugoofaaru,MV,83.17,few clouds,5.6667,73.0,Ungoofaaru Inn
414,Mangrol,IN,79.81,clear sky,21.1167,70.1167,Hotel The Royal Honours
416,Flinders,AU,68.18,light rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
419,Dicabisagan,PH,78.13,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
420,Uige,AO,83.48,light rain,-7.6087,15.0613,Hotel Catraio
424,Mizdah,LY,88.47,overcast clouds,31.4451,12.9801,محمدالمبروك الاريقط
425,Corredor,CR,88.95,broken clouds,8.64,-82.946,Hotel Fortuna Verde
427,Pemba,MZ,88.5,few clouds,-12.974,40.5178,Guesthouse Samotina
428,Moche,PE,68.18,fog,-8.1711,-79.0092,Wyndham Costa del Sol Trujillo
429,Aitape,PG,77.61,heavy intensity rain,-3.1374,142.3475,
431,Mokobeng,BW,80.4,broken clouds,-22.9965,27.6678,Omphile B. Molefhe
432,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
434,Xanxere,BR,68.11,clear sky,-26.8769,-52.4042,Center Hotel
436,Rio Branco,BR,72.21,broken clouds,-9.9747,-67.81,Hotel Guapindaia Bosque
441,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
442,Jibuti,DJ,79.56,few clouds,11.5,42.5,Orchid Main Camp Goubet
443,Qui Nhon,VN,78.69,scattered clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
445,Acapulco,MX,73.22,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
446,Ipameri,BR,84.34,clear sky,-17.7219,-48.1597,Real Hotel
448,Bardiyah,LY,62.15,clear sky,31.7561,25.0865,بورتو بردية
449,Radnevo,BG,72.07,clear sky,42.3,25.9333,Hotel Nakra
451,Chibombo,ZM,75.34,light rain,-14.6569,28.0706,Chibombo District Council Guest House
452,Ulladulla,AU,65.3,light rain,-35.35,150.4667,Sandpiper Motel
454,Awjilah,LY,75.83,clear sky,29.1081,21.2869,المنزل
455,Nago,JP,65.25,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
460,Maningrida,AU,76.51,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
461,Tarakan,ID,78.3,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
464,Oriximina,BR,83.01,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
466,Porbandar,IN,84.69,clear sky,21.6422,69.6093,Lords Inn Porbandar
467,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
468,Ambon,ID,75.34,heavy intensity rain,-3.6954,128.1814,Swiss-Belhotel Ambon
469,Bastia,FR,67.8,clear sky,42.6667,9.3333,Hotel Santa Maria
471,Gushikawa,JP,67.23,overcast clouds,26.3544,127.8686,Kirari Guest House
472,Comodoro Rivadavia,AR,60.66,clear sky,-45.8667,-67.5,Austral Hotel
475,Boddam,GB,62.44,few clouds,57.4667,-1.7833,Palace Hotel
476,Arrecife,ES,69.78,few clouds,28.963,-13.5477,Hotel Lancelot
479,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
481,Sambava,MG,80.17,scattered clouds,-14.2667,50.1667,Melrose
482,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
486,Nabire,ID,75.61,moderate rain,-3.3667,135.4833,Hotel Nusantara Nabire
487,Kudahuvadhoo,MV,82.98,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
489,Samarai,PG,81.72,broken clouds,-10.6167,150.6667,Nuli Sapi
491,Cascais,PT,70.21,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
498,Belmopan,BZ,70.18,overcast clouds,17.25,-88.7667,Villa San Juan
500,Sipe Sipe,BO,63.16,scattered clouds,-17.45,-66.3833,Cabañas Oasis Marino
501,Concarneau,FR,67.82,clear sky,47.875,-3.9225,Brit Hotel de L' Océan
