City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Eydhafushi,MV,5.1033,73.0708,83.01,71,14,9.82,few clouds
193,Kyotera,UG,-0.6156,31.5175,76.1,60,100,1.39,overcast clouds
194,Celestun,MX,20.8667,-90.4,74.05,57,1,10.63,clear sky
195,Clyde River,CA,70.4692,-68.5914,-1.97,78,100,8.05,overcast clouds
196,Santo Antonio Do Monte,BR,-20.0872,-45.2936,82.18,54,10,4.54,clear sky
197,Vaitape,PF,-16.5167,-151.75,80.78,75,24,10.13,light rain
198,Nizwa,OM,22.9333,57.5333,87.98,14,0,3.31,clear sky
199,Havelock,US,34.8791,-76.9013,49.98,45,0,11.01,clear sky
200,Northam,GB,51.0333,-4.2167,63.25,69,0,11.34,clear sky
201,Thompson,CA,55.7435,-97.8558,-16.44,69,0,2.3,clear sky
202,Provideniya,RU,64.3833,-173.3,11.39,77,98,3.87,overcast clouds
203,Sola,VU,-13.8833,167.55,82.65,72,96,9.53,overcast clouds
204,Quatre Cocos,MU,-20.2078,57.7625,82.51,71,43,7.25,scattered clouds
205,Avarua,CK,-21.2078,-159.775,80.65,83,40,8.05,scattered clouds
206,Gerash,IR,27.6652,54.1371,78.94,7,0,9.01,clear sky
207,Sinnamary,GF,5.3833,-52.95,81.3,75,96,13.04,overcast clouds
208,Geraldton,AU,-28.7667,114.6,72.01,94,40,10.36,scattered clouds
209,Henties Bay,NA,-22.116,14.2845,67.95,75,6,6.87,clear sky
210,Sehithwa,BW,-20.4667,22.7167,83.98,40,63,6.22,broken clouds
211,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,34.39,75,100,24.61,light shower snow
212,Alofi,NU,-19.0595,-169.9187,78.69,89,99,11.5,overcast clouds
213,San Patricio,US,28.017,-97.5169,69.89,58,100,16.35,overcast clouds
214,Tevaitoa,PF,-16.7833,-151.5,80.96,74,50,10.11,scattered clouds
215,Beringovskiy,RU,63.05,179.3167,-7.82,100,88,5.57,overcast clouds
216,Severo-Kurilsk,RU,50.6789,156.125,34.83,99,100,10.87,overcast clouds
217,Teluknaga,ID,-6.0989,106.6381,85.6,100,75,10.36,thunderstorm with rain
218,Port-Gentil,GA,-0.7193,8.7815,85.96,79,20,14.97,few clouds
219,Tiksi,RU,71.6872,128.8694,-15.99,100,68,5.26,broken clouds
220,San Matias,BO,-16.3667,-58.4,81.27,65,97,4.59,overcast clouds
221,Salinopolis,BR,-0.6136,-47.3561,81.61,77,99,9.24,light rain
222,Bereda,ES,43.2686,-7.5406,71.15,46,57,0.58,broken clouds
223,Lasa,IT,46.6166,10.7002,66.69,74,25,0.4,scattered clouds
224,Carnarvon,AU,-24.8667,113.6333,77.07,73,0,5.75,clear sky
225,Lakes Entrance,AU,-37.8811,147.981,58.15,77,1,5.7,clear sky
226,Ambunti,PG,-4.2365,142.8448,73.42,99,100,2.19,overcast clouds
227,Oranjemund,NA,-28.55,16.4333,68.45,57,0,9.91,clear sky
228,Isabela,PH,6.7085,121.9711,79.03,83,100,4.45,overcast clouds
229,Port Blair,IN,11.6667,92.75,82.44,83,20,2.3,mist
230,Saint-Philippe,RE,-21.3585,55.7679,81.99,83,80,3.49,light rain
231,Blairmore,CA,49.6,-114.4353,31.53,93,100,1.14,overcast clouds
232,Les Cayes,HT,18.2,-73.75,84.2,54,17,4.76,few clouds
233,Mareeba,AU,-17.0,145.4333,70.52,98,74,1.3,broken clouds
234,Upata,VE,8.0086,-62.3989,84.97,47,100,8.99,overcast clouds
235,Tulsipur,NP,28.131,82.2973,72.21,17,1,6.26,clear sky
236,Nuevo Progreso,MX,23.1667,-97.95,72.46,54,1,13.35,clear sky
237,Kalaleh,IR,37.3807,55.4916,62.96,63,20,9.22,few clouds
238,Da Nang,VN,16.0678,108.2208,78.78,73,75,6.91,broken clouds
239,Saint-Francois,FR,46.4154,3.9054,69.24,30,0,2.3,clear sky
240,Saldanha,ZA,-33.0117,17.9442,84.25,57,51,9.82,broken clouds
241,Kahului,US,20.8947,-156.47,72.84,73,0,5.01,clear sky
242,Hasaki,JP,35.7333,140.8333,50.4,73,100,13.6,overcast clouds
243,Sukhobuzimskoye,RU,56.5,93.2728,7.18,95,35,4.76,scattered clouds
244,Cidreira,BR,-30.1811,-50.2056,74.84,59,0,9.91,clear sky
245,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,89,40,9.22,scattered clouds
246,Namibe,AO,-15.1961,12.1522,77.58,64,91,18.75,overcast clouds
247,Bathsheba,BB,13.2167,-59.5167,83.01,65,40,19.57,scattered clouds
248,Nesbyen,NO,60.5681,9.1027,43.65,99,100,7.0,overcast clouds
249,Cabo San Lucas,MX,22.8909,-109.9124,72.52,44,25,3.71,scattered clouds
250,Butaritari,KI,3.0707,172.7902,79.83,73,60,6.85,broken clouds
251,Touros,BR,-5.1989,-35.4608,86.76,63,99,12.33,overcast clouds
252,Sorland,NO,67.667,12.6934,41.45,84,100,25.86,light rain
253,New Norfolk,AU,-42.7826,147.0587,62.1,89,97,3.29,overcast clouds
254,Oxbow,CA,49.2333,-102.1676,14.65,81,90,13.09,overcast clouds
255,Araguaina,BR,-7.1911,-48.2072,85.77,64,100,4.68,overcast clouds
256,Novo Aripuana,BR,-5.1206,-60.3797,82.2,82,100,2.44,moderate rain
257,Lorengau,PG,-2.0226,147.2712,80.26,81,92,7.02,overcast clouds
258,Kieta,PG,-6.2167,155.6333,78.19,84,100,1.45,light rain
259,Lathi,IN,21.7167,71.3833,93.61,21,1,11.3,clear sky
260,Leningradskiy,RU,69.3833,178.4167,-13.25,91,4,4.92,clear sky
261,Point Pedro,LK,9.8167,80.2333,82.62,75,0,10.2,clear sky
262,Qaqortoq,GL,60.7167,-46.0333,37.38,51,100,14.09,light rain
263,Sao Filipe,CV,14.8961,-24.4956,70.72,72,62,9.98,broken clouds
264,Tommot,RU,58.9564,126.2925,0.75,97,75,3.85,broken clouds
265,Harper,LR,4.375,-7.7169,83.75,71,87,7.76,overcast clouds
266,Atasu,KZ,48.6814,71.6433,31.66,97,100,16.06,light snow
267,Axim,GH,4.8699,-2.2405,84.63,69,58,9.93,broken clouds
268,North Bend,US,43.4065,-124.2243,51.85,96,100,6.91,overcast clouds
269,Caravelas,BR,-17.7125,-39.2481,87.06,55,8,10.25,clear sky
270,Mar Del Plata,AR,-38.0023,-57.5575,71.62,58,0,18.01,clear sky
271,Calatayud,ES,41.3535,-1.6432,60.22,50,76,12.37,broken clouds
272,Acarau,BR,-2.8856,-40.12,82.65,79,88,10.85,overcast clouds
273,Minbu,MM,20.1833,94.8833,84.99,53,71,5.66,broken clouds
274,Ilulissat,GL,69.2167,-51.1,24.82,50,0,2.3,clear sky
275,Ryotsu,JP,38.0833,138.4333,45.82,73,65,11.81,broken clouds
276,Gull Lake,CA,50.1001,-108.4847,33.03,42,63,16.33,broken clouds
277,Norsup,VU,-16.0667,167.3833,79.86,85,100,5.26,overcast clouds
278,Barmer,IN,25.75,71.3833,87.85,7,2,5.48,clear sky
279,Humen,CN,22.819,113.6731,68.13,70,100,11.54,moderate rain
280,Dubbo,AU,-32.25,148.6167,60.93,94,66,10.36,broken clouds
281,Auki,SB,-8.7676,160.7034,77.68,86,100,2.55,light rain
282,Christchurch,NZ,-43.5333,172.6333,58.95,89,100,3.44,overcast clouds
283,Hamilton,US,39.1834,-84.5333,33.98,60,100,11.5,overcast clouds
284,Dakar,SN,14.6937,-17.4441,81.48,73,20,18.41,few clouds
285,Komsomolskiy,UZ,40.4272,71.7189,54.32,40,94,2.3,overcast clouds
286,Mecca,SA,21.4267,39.8261,87.96,19,0,12.35,clear sky
287,Bilma,NE,18.6853,12.9164,89.62,5,22,6.46,few clouds
288,Grand Gaube,MU,-20.0064,57.6608,82.8,78,34,4.0,scattered clouds
289,Ballina,AU,-28.8667,153.5667,69.78,96,40,2.3,scattered clouds
290,Natal,BR,-5.795,-35.2094,86.65,79,75,14.97,light intensity shower rain
291,Aykhal,RU,66.0,111.5,1.76,100,72,5.7,broken clouds
292,Dekar,BW,-21.5333,21.9333,81.81,42,89,3.09,overcast clouds
293,Kaitangata,NZ,-46.2817,169.8464,49.98,96,25,2.71,scattered clouds
294,Kollam,IN,8.8833,76.6,81.64,74,12,2.89,few clouds
295,Georgetown,MY,5.4112,100.3354,85.95,82,20,3.44,few clouds
296,Goderich,CA,43.7501,-81.7165,21.9,79,100,28.77,overcast clouds
297,Talnakh,RU,69.4865,88.3972,1.76,84,72,3.87,broken clouds
298,Bubaque,GW,11.2833,-15.8333,77.9,52,65,10.89,broken clouds
299,Nishihara,JP,26.1842,127.7558,67.28,84,100,8.05,light rain
300,Yatou,CN,37.15,122.3833,39.52,31,0,4.5,clear sky
301,Bela,IN,25.9333,81.9833,84.67,8,1,6.55,clear sky
302,Ostrovnoy,RU,68.0531,39.5131,21.56,63,100,9.1,overcast clouds
303,Armidale,AU,-30.5167,151.65,56.73,99,100,1.72,light rain
304,Denpasar,ID,-8.65,115.2167,80.26,94,75,4.61,broken clouds
305,Hearst,CA,49.6835,-83.6665,-3.75,81,100,13.13,overcast clouds
306,Darhan,MN,49.4867,105.9228,32.05,55,100,6.51,overcast clouds
307,Atambua,ID,-9.1061,124.8925,73.81,90,97,2.77,overcast clouds
308,Nibe,DK,56.9815,9.6392,52.0,71,7,10.36,clear sky
309,Fort Nelson,CA,58.8053,-122.7002,17.19,73,75,6.91,broken clouds
310,Jinchang,CN,38.4953,102.1739,48.6,25,77,6.29,broken clouds
311,Namatanai,PG,-3.6667,152.4333,78.94,84,100,4.52,light rain
312,Madimba,TZ,-10.4,40.3333,87.12,74,40,9.22,scattered clouds
313,Manokwari,ID,-0.8667,134.0833,78.57,83,95,7.87,overcast clouds
314,College,US,64.8569,-147.8028,30.79,78,0,0.0,clear sky
315,Jackson,US,42.4165,-122.8345,54.64,77,0,3.44,clear sky
316,Sept-Iles,CA,50.2001,-66.3821,32.05,93,100,17.27,overcast clouds
317,Redlands,US,34.0556,-117.1825,68.99,47,100,0.0,haze
318,Diamantino,BR,-14.4086,-56.4461,77.92,83,100,3.69,overcast clouds
319,Mpongwe,ZM,-13.5091,28.155,75.16,85,60,2.53,moderate rain
320,Guilin,CN,25.2819,110.2864,53.71,86,62,4.83,broken clouds
321,Santa Cruz Cabralia,BR,-16.2781,-39.0247,86.23,70,40,12.66,scattered clouds
322,Nalut,LY,30.3333,10.85,92.01,12,32,24.32,scattered clouds
323,Sokoni,TZ,-6.4333,39.55,93.06,72,4,11.12,clear sky
324,Gravdal,NO,68.1214,13.5031,31.89,86,75,8.05,light snow
325,Tuy Hoa,VN,13.0833,109.3,77.2,89,87,3.51,overcast clouds
326,Hofn,IS,64.2539,-15.2082,39.22,75,100,16.11,overcast clouds
327,Mitsamiouli,KM,-11.3847,43.2844,82.69,89,75,10.36,light rain
328,Sovetskiy,RU,61.3614,63.5842,24.89,86,100,15.19,overcast clouds
329,Nioro,GM,13.35,-15.75,100.02,9,100,5.95,overcast clouds
330,San Marcos,US,33.1434,-117.1661,58.15,84,100,5.75,overcast clouds
331,Itarema,BR,-2.9248,-39.9167,82.04,81,88,10.56,overcast clouds
332,Ginir,ET,7.1333,40.7,75.7,20,61,9.08,broken clouds
333,Mayumba,GA,-3.432,10.6554,82.4,83,70,9.04,light rain
334,Nome,US,64.5011,-165.4064,21.27,73,100,5.75,overcast clouds
335,Akmene,LT,56.25,22.75,39.94,48,100,13.22,overcast clouds
336,Shelburne,CA,44.0787,-80.2041,16.25,81,99,19.17,overcast clouds
337,Vytegra,RU,61.0064,36.4481,21.74,81,100,14.41,overcast clouds
338,Wajima,JP,37.4,136.9,49.98,69,39,20.24,scattered clouds
339,Mount Isa,AU,-20.7333,139.5,78.57,24,2,8.05,clear sky
340,Saint-Pierre,RE,-21.3393,55.4781,82.08,77,100,2.3,overcast clouds
341,Cabedelo,BR,-6.9811,-34.8339,86.67,73,95,11.03,overcast clouds
342,Honningsvag,NO,70.9821,25.9704,26.35,59,20,6.91,few clouds
343,Kysyl-Syr,RU,63.8986,122.7617,22.91,96,100,7.25,light snow
344,Ikoma,JP,34.6833,135.7,54.59,63,57,2.06,broken clouds
345,Flin Flon,CA,54.7682,-101.865,-14.96,64,20,2.3,few clouds
346,Belaya Gora,RU,68.5333,146.4167,-15.86,100,53,5.3,broken clouds
